Feedback,Name,Type,Song,Genres
"Hey there, The production sounds impeccable with the fusion of breakbeat and progressive house, and the vocals are trancey and atmospheric, regrettably this leans away in terms of style and arrangements when considering our mainstream EDM playlists. Sorry for declining this time and wishing you the best! Thanks for sending!",EDMHOUSE NETWORK,Fail,BEFORE,"Dance music, Deep house, Drum and Bass, Dubstep, Future house, Hard Dance / Hardcore / Hardstyle, Hard Techno, House music, Techno, UK Garage / Bassline, Catchy, Energetic, Good vibes, Groovy, Mainstream, Upbeat"
I really like the research of sounds in this track. You've created a good fusion of different genres of music but we're looking for something more pop/commercial,Voltage,Fail,BEFORE,"Beats / Lo-fi, Commercial / Mainstream, Dance pop, Deep house, Drill/Jersey, Electropop, Indie pop, International pop, Neo / Modern Classical, Solo Piano, Chill, Danceable, Good vibes, Positive, Relaxing, Electronic sounds, Synths, Available on Spotify"
"Hello Aspen Jade! Thanks a lot for your submission! Oh this track is coming out on my birthday! Cool, I'll wait, I really like this pulsating drop, it's the ear-catching end of this track!",Kiwistage,Success,BEFORE,"Bass music, Dance music, Dance pop, Deep house, Electropop, Electro swing, Future house, House music, Phonk, Tech House, Dark, Energetic, Engaged, Intense, Melodic, Romantic, Underground, Captivating, Upbeat, Bass guitar, Beatmaker, Beats, Covers, Demos, Electric guitar, Finished track, Piano, Radio edit, Remix, Vocals, Available on Spotify, Supported artist, Unsigned artist, Young talent"
"Hello Aspen, thank you so much for sending us another track, it is a cool production but, at the same time, very far from our preferences and share range. I appreciate this fast-easrly 90's dance atmosphere, it works. In general, as a website focused on clubbing and on the underground scene, we're looking for something very different to share nowadays, something more electro, techno or house oriented. I'm sorry. Thank you so much, all the best and good luck.",Parkett,Fail,BEFORE,"Acid house, Ambient, Deep house, Electronica, Hard Dance / Hardcore / Hardstyle, House music, Minimal, Tech House, Techno, UK Garage / Bassline, Catchy, Danceable, Experimental, Good vibes, Groovy, Intense, Melodic, Relaxing, Underground, Upbeat, Beatmaker, Beats, Electronic sounds, Instrumental, Live recording, Drums, Professional production, Remix, Synths, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey Aspen Jade 👋 We listened to the track you sent us and are ready to do a blog post. Also we are going to add the song to our playlist, it will be there for a month. I'll let you know when it's all set. 👉 IMPORTANT: comments and ratings of your music will be published on the website in SPANISH. 👉 OUR DELIVERY TIMES: can vary in the same day to at most seven days (Be patient we are human thanks) See you soon! 🧡",Zone Nights,Success,BEFORE,"Alternative rock, Dance music, Death / Thrash, Electronica, Hardcore, Hard Dance / Hardcore / Hardstyle, House music, Metal / Heavy metal, Pop Punk, Punk Rock, Authentic, Catchy, Chill, Contemporary, Creative, Curious, Danceable, Dark, Dramatic, Eccentric, Eclectic, Energetic, Experimental, Fusion, Good vibes, Hardcore, Indie, Intense, Lo-fi, Melancholic, Melodic, Dreamy, Original, Positive, Provocative, Psychological, Relaxing, Romantic, Sensual, Tropical, Underground, Featuring, Electronic sounds, Explicit, Finished track, Piano, Professional production, Radio edit, Synths, All supports, Video clip, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project"
"Hi dear Thanks for sharing your music. I've really enjoyed listening to your track. Your talent is clear. I appreciate your unique sound. While it's not the right fit for my channel now, I think you have a lot of potential. Keep creating great music. Best",YaSsine DJS,Fail,BEFORE,"Ambient, Chill out, Dance music, Dance pop, Disco, Electronica, Electropop, Nu-disco, Synthwave, Trip hop, Catchy, Creative, Danceable, Eclectic, Energetic, Good vibes, Unique, Lo-fi, Original, Positive, Romantic, Tropical, All supports, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Great vocals and production. I like this song a ton but we are a synthwave label so it isn;t quite a fit for us, but thank you for sharing and best of luck to you.",Girlfriend Records,Fail,BEFORE,"Ambient, Chill out, Dance music, Disco, Electronica, French house, Indie Dance, Nu-disco, Synthwave, Techno, Authentic, Catchy, Chill, Danceable, Eclectic, Experimental, Good vibes, Lo-fi, Provocative, Psychological, Upbeat, Bass guitar, Beats, Featuring, Covers, Demos, Electronic sounds, Explicit, Instrumental, Live recording, Low fidelity, Finished track, Drums, Professional production, Radio edit, Remix, Strings, Sync-friendly, Synths, All supports, Urban sounds, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
Good morning! Thanks for your music. This is cool but maybe it just needs a bit more of energy at the drop and maybe improve the mix. We'll be looking forward to hearing your new music shortly. Have a nice day Aspen Jade.,Technogod,Fail,BEFORE,"Acid house, Deep house, Drum and Bass, Dubstep, Experimental electronic, Hard Dance / Hardcore / Hardstyle, Minimal, Techno"
"Hey There, Cool track and love the inspiration behind it. When looking at songs for my playlist, the mus fit in with the vibe of the other tracks. I feel that the vibe is wrong for my playlists. It's more suited to some loung or poolside vibes style playlists. On the right playlist, this should do well for you. Cheers Scott-e",DJ Scott-e,Fail,BEFORE,"Bass music, Dance music, Deep house, Electronica, Hard Dance / Hardcore / Hardstyle, House music, Progressive / Melodic House & Techno, Tech House, Techno, Trance"
"Hey Aspen Jade, Thank you for sending this track to us! We really enjoyed listening to the tune. I will include it in our ‘Daily Discovery’ concept. Kind regards, Team Inspotmusic",Inspotmusic,Success,BEFORE,"Chill out, Dance music, Dance pop, Deep house, Electronica, Electropop, House music, Indie pop, International pop, Tech House, Catchy, Chill, Creative, Danceable, Downbeat, Eclectic, Energetic, Experimental, Fusion, Good vibes, Groovy, Unique, Intense, Lo-fi, Mainstream, Melodic, Midtempo, Dreamy, Relaxing, Sensual, Tropical, Upbeat, Unplugged, Beatmaker, Beats, Featuring, Electric guitar, Electronic sounds, Explicit, Finished track, Drums, Professional production, Radio edit, Remix, Synths, All supports, Urban sounds, Available on Spotify, Composer, Early project, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
